station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP
None, None, None, 2010-10-18 00:00:00, 9.0, 11.1
None, None, None, 2010-10-19 00:00:00, 9.4, 14.5
None, None, None, 2010-10-20 00:00:00, 8.7, 11.8
None, None, None, 2010-10-21 00:00:00, 7.4, 12.5
None, None, None, 2010-10-22 00:00:00, 11.3, 13.0
None, None, None, 2010-10-23 00:00:00, 10.4, 14.4
None, None, None, 2010-10-24 00:00:00, 10.1, 12.3
None, None, None, 2010-10-25 00:00:00, 9.9, 11.5
None, None, None, 2010-10-26 00:00:00, 8.1, 10.2
None, None, None, 2010-10-27 00:00:00, 8.4, 11.6
None, None, None, 2010-10-28 00:00:00, 9.5, 11.0
None, None, None, 2010-10-29 00:00:00, 8.9, 12.0
None, None, None, 2010-10-30 00:00:00, 8.5, 12.0
None, None, None, 2010-10-31 00:00:00, 9.8, 11.8
None, None, None, 2010-11-01 00:00:00, 8.5, 13.1
None, None, None, 2010-11-02 00:00:00, 9.7, 13.7
None, None, None, 2010-11-03 00:00:00, 9.2, 13.3
None, None, None, 2010-11-04 00:00:00, 9.1, 13.1
None, None, None, 2010-11-05 00:00:00, 8.5, 11.7
None, None, None, 2010-11-06 00:00:00, 7.2, 12.1
None, None, None, 2010-11-07 00:00:00, 9.2, 11.7
None, None, None, 2010-11-08 00:00:00, 7.4, 9.2
None, None, None, 2010-11-09 00:00:00, 6.3, 8.4
None, None, None, 2010-11-10 00:00:00, 6.7, 8.4
None, None, None, 2010-11-11 00:00:00, 5.6, 8.9
None, None, None, 2010-11-12 00:00:00, 7.5, 9.5
None, None, None, 2010-11-13 00:00:00, 6.5, 8.2
None, None, None, 2010-11-14 00:00:00, 6.7, 8.8
None, None, None, 2010-11-15 00:00:00, 8.1, 13.2
None, None, None, 2010-11-16 00:00:00, 8.5, 10.7
None, None, None, 2010-11-17 00:00:00, 6.4, 9.4
None, None, None, 2010-11-18 00:00:00, 2.7, 6.7
None, None, None, 2010-11-19 00:00:00, 0.9, 3.4
None, None, None, 2010-11-20 00:00:00, 0.3, 4.2
None, None, None, 2010-11-21 00:00:00, -1.7, 1.3
None, None, None, 2010-11-22 00:00:00, -3.7, -1.5
None, None, None, 2010-11-23 00:00:00, -6.9, -2.8
None, None, None, 2010-11-24 00:00:00, -5.4, -1.7
None, None, None, 2010-11-25 00:00:00, -2.9, 3.3
None, None, None, 2010-11-26 00:00:00, 3.2, 7.9
None, None, None, 2010-11-27 00:00:00, 3.5, 6.9
None, None, None, 2010-11-28 00:00:00, 2.8, 5.4
None, None, None, 2010-11-29 00:00:00, 2.7, 5.9
None, None, None, 2010-11-30 00:00:00, 4.4, 8.5
None, None, None, 2010-12-01 00:00:00, 4.4, 7.5
None, None, None, 2010-12-02 00:00:00, 3.5, 5.2
None, None, None, 2010-12-03 00:00:00, 3.8, 5.8
None, None, None, 2010-12-04 00:00:00, 3.7, 6.2
None, None, None, 2010-12-05 00:00:00, 2.8, 5.6
None, None, None, 2010-12-06 00:00:00, 3.9, 7.4
None, None, None, 2010-12-07 00:00:00, 6.4, 9.7
None, None, None, 2010-12-08 00:00:00, 7.0, 10.0
None, None, None, 2010-12-09 00:00:00, 5.6, 8.8
None, None, None, 2010-12-10 00:00:00, 5.1, 7.9
None, None, None, 2010-12-11 00:00:00, 5.3, 7.7
None, None, None, 2010-12-12 00:00:00, 5.2, 11.7
None, None, None, 2010-12-13 00:00:00, 4.4, 9.2
None, None, None, 2010-12-14 00:00:00, 2.8, 9.1
None, None, None, 2010-12-15 00:00:00, 4.5, 6.5
None, None, None, 2010-12-16 00:00:00, 4.2, 6.2
None, None, None, 2010-12-17 00:00:00, 3.4, 7.8
None, None, None, 2010-12-18 00:00:00, 2.1, 7.8
None, None, None, 2010-12-19 00:00:00, 2.5, 5.8
None, None, None, 2010-12-20 00:00:00, 2.4, 6.6
None, None, None, 2010-12-21 00:00:00, 5.2, 9.1
