station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND
0.0, 0.0, 0.0, 2010-07-27 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-28 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-29 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-30 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-31 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-01 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-02 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-03 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-04 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-05 00:00:00, 0.0
15.2, 15.2, 0.0, 2010-08-06 00:00:00, 0.0
1.2, 1.2, 0.0, 2010-08-07 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-08 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-09 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-10 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-11 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-12 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-13 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-14 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-15 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-16 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-17 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-18 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-19 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-20 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-23 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-24 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-25 00:00:00, 0.0
20.8, 20.8, 0.0, 2010-08-26 00:00:00, 0.0
3.2, 3.2, 0.0, 2010-08-27 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-28 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-29 00:00:00, 0.0
18.7, 18.7, 0.0, 2010-08-30 00:00:00, 0.0
8.0, 8.0, 0.0, 2010-08-31 00:00:00, 0.0
0.1, 0.1, 0.0, 2010-09-01 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-09-02 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-09-03 00:00:00, 0.0
0.1, 0.1, 0.0, 2010-09-04 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-09-05 00:00:00, 0.0
14.9, 14.9, 0.0, 2010-09-06 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-09-07 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-09-08 00:00:00, 0.0
3.7, 3.7, 0.0, 2010-09-09 00:00:00, 0.0
3.3, 3.3, 0.0, 2010-09-10 00:00:00, 0.0
37.2, 37.2, 0.0, 2010-09-11 00:00:00, 0.0
2.0, 2.0, 0.0, 2010-09-12 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-09-13 00:00:00, 0.0
2.2, 2.2, 0.0, 2010-09-14 00:00:00, 0.0
9.0, 9.0, 0.0, 2010-09-15 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-09-16 00:00:00, 0.0
3.2, 3.2, 0.0, 2010-09-17 00:00:00, 0.0
5.2, 5.2, 0.0, 2010-09-18 00:00:00, 0.0
5.4, 5.4, 0.0, 2010-09-19 00:00:00, 0.0
7.4, 7.4, 0.0, 2010-09-20 00:00:00, 0.0
0.2, 0.2, 0.0, 2010-09-21 00:00:00, 0.0
4.3, 4.3, 0.0, 2010-09-22 00:00:00, 0.0
27.4, 27.4, 0.0, 2010-09-23 00:00:00, 0.0
151.0, 151.0, 0.0, 2010-09-24 00:00:00, 0.0
217.0, 217.0, 0.0, 2010-09-25 00:00:00, 0.0
2.0, 2.0, 0.0, 2010-09-26 00:00:00, 0.0
60.6, 60.6, 0.0, 2010-09-27 00:00:00, 0.0
0.3, 0.3, 0.0, 2010-09-28 00:00:00, 0.0
None, None, None, 2010-09-29 00:00:00, 0.0
None, None, None, 2010-10-01 00:00:00, 0.0
None, None, None, 2010-10-28 00:00:00, 0.0
15.8, 15.8, 0.0, 2010-11-01 00:00:00, None
0.0, 0.0, 0.0, 2010-11-02 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-11-03 00:00:00, 0.0
55.7, 55.7, 0.0, 2010-11-04 00:00:00, 0.0
31.4, 31.4, 0.0, 2010-11-06 00:00:00, 0.0
2.4, 2.4, 0.0, 2010-11-08 00:00:00, 0.0
2.1, 2.1, 0.0, 2010-11-09 00:00:00, 0.0
0.4, 0.4, 0.0, 2010-11-10 00:00:00, 0.0
20.4, 20.4, 0.0, 2010-11-11 00:00:00, 0.0
10.4, 10.4, 0.0, 2010-11-12 00:00:00, 0.0
9.2, 9.2, 0.0, 2010-11-13 00:00:00, 0.0
5.2, 5.2, 0.0, 2010-11-14 00:00:00, 0.0
28.0, 28.0, 0.0, 2010-11-15 00:00:00, 0.0
26.9, 26.9, 0.0, 2010-11-16 00:00:00, 0.0
18.1, 18.1, 0.0, 2010-11-17 00:00:00, 0.0
9.6, 9.6, 0.0, 2010-11-18 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-11-20 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-11-21 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-11-22 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-11-23 00:00:00, 0.0
8.1, 7.1, 1.0, 2010-11-24 00:00:00, 0.0
47.6, 47.6, 0.0, 2010-11-25 00:00:00, 1.0
19.8, 19.8, 0.0, 2010-11-26 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-11-27 00:00:00, 0.0
3.8, 3.8, 0.0, 2010-11-28 00:00:00, 0.0
55.9, 55.9, 0.0, 2010-11-29 00:00:00, 0.0
13.5, 13.5, 0.0, 2010-11-30 00:00:00, 0.0
None, None, None, 2010-12-01 00:00:00, 0.0
None, None, None, 2011-01-02 00:00:00, 0.0
0.0, 0.0, 0.0, 2011-01-10 00:00:00, None
None, None, None, 2011-01-11 00:00:00, 0.0
1.6, 1.6, 0.0, 2011-04-01 00:00:00, None
0.2, 0.2, 0.0, 2011-04-02 00:00:00, 0.0
21.0, 21.0, 0.0, 2011-04-03 00:00:00, 0.0
22.8, 21.8, 1.0, 2011-04-04 00:00:00, 0.0
36.0, 36.0, 0.0, 2011-04-05 00:00:00, 1.0
0.4, 0.4, 0.0, 2011-04-06 00:00:00, 0.0
0.0, 0.0, 0.0, 2011-04-07 00:00:00, 0.0
1.0, 1.0, 0.0, 2011-04-08 00:00:00, 0.0
11.0, 11.0, 0.0, 2011-04-09 00:00:00, 0.0
55.6, 55.6, 0.0, 2011-04-10 00:00:00, 0.0
14.0, 14.0, 0.0, 2011-04-11 00:00:00, 0.0
11.3, 11.3, 0.0, 2011-04-12 00:00:00, 0.0
17.8, 17.8, 0.0, 2011-04-14 00:00:00, 0.0
2.8, 2.8, 0.0, 2011-04-15 00:00:00, 0.0
0.0, 0.0, 0.0, 2011-04-16 00:00:00, 0.0
0.0, 0.0, 0.0, 2011-04-17 00:00:00, 0.0
0.0, 0.0, 0.0, 2011-04-18 00:00:00, 0.0
0.0, 0.0, 0.0, 2011-04-19 00:00:00, 0.0
0.0, 0.0, 0.0, 2011-04-20 00:00:00, 0.0
0.0, 0.0, 0.0, 2011-04-21 00:00:00, 0.0
0.0, 0.0, 0.0, 2011-04-22 00:00:00, 0.0
4.6, 4.6, 0.0, 2011-04-23 00:00:00, 0.0
8.5, 8.5, 0.0, 2011-04-25 00:00:00, None
30.3, 30.3, 0.0, 2011-04-27 00:00:00, 0.0
11.1, 11.1, 0.0, 2011-04-28 00:00:00, 0.0
1.1, 1.1, 0.0, 2011-05-03 00:00:00, 0.0
