station_observations
ONE_DAY_PRECIPITATION, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
20.0, 2011-01-05 00:00:00, 2.1, 5.5, None
13.6, 2011-01-06 00:00:00, 1.8, 5.8, None
None, 2011-01-07 00:00:00, 3.1, 7.5, None
8.0, 2011-01-08 00:00:00, 2.3, 4.7, None
0.0, 2011-01-09 00:00:00, -0.2, 3.8, None
0.0, 2011-01-10 00:00:00, -3.4, 1.2, None
0.4, 2011-01-11 00:00:00, -1.6, 1.2, None
20.4, 2011-01-12 00:00:00, -0.1, 3.6, None
10.8, 2011-02-03 00:00:00, 3.7, 6.3, None
2.8, 2011-02-04 00:00:00, 6.2, 8.1, None
5.8, 2011-02-05 00:00:00, 3.3, 6.4, None
30.0, 2011-02-06 00:00:00, 1.6, 4.8, None
2.2, 2011-02-07 00:00:00, 4.5, 7.6, None
0.0, 2011-02-08 00:00:00, 2.6, 7.7, None
0.0, 2011-02-09 00:00:00, 1.2, 4.9, None
0.0, 2011-02-10 00:00:00, 1.6, 4.3, None
16.6, 2011-02-11 00:00:00, 2.1, 4.3, None
58.0, 2011-02-12 00:00:00, 1.5, 6.2, None
0.6, 2011-02-13 00:00:00, 3.0, 7.0, None
25.0, 2011-02-14 00:00:00, 2.5, 7.4, None
15.4, 2011-02-15 00:00:00, 1.2, 5.9, None
1.0, 2011-02-16 00:00:00, 2.7, 5.2, None
9.4, 2011-02-17 00:00:00, 1.0, 3.7, None
2.2, 2011-02-18 00:00:00, 0.3, 3.5, None
0.0, 2011-02-19 00:00:00, -1.1, 4.2, None
1.8, 2011-02-20 00:00:00, -1.5, 2.8, None
4.4, 2011-02-21 00:00:00, 1.2, 4.7, None
0.8, 2011-02-22 00:00:00, 2.4, 4.4, None
0.0, 2011-02-23 00:00:00, -3.3, 2.7, None
0.0, 2011-02-24 00:00:00, -5.3, -0.9, None
0.0, 2011-02-25 00:00:00, -6.2, 1.7, None
0.0, 2011-02-26 00:00:00, -2.4, 1.3, None
16.6, 2011-02-27 00:00:00, 0.0, 3.5, None
0.4, 2011-02-28 00:00:00, -3.2, 2.6, None
5.4, 2011-03-01 00:00:00, -2.0, 0.9, None
22.2, 2011-03-02 00:00:00, -1.1, 7.1, None
3.8, 2011-03-03 00:00:00, 2.3, 5.9, None
8.4, 2011-03-04 00:00:00, 1.9, 3.7, None
0.0, 2011-03-05 00:00:00, 2.1, 6.0, None
0.0, 2011-03-06 00:00:00, 1.3, 6.4, None
0.2, 2011-03-07 00:00:00, 1.3, 7.7, None
7.4, 2011-03-08 00:00:00, 2.3, 5.9, None
17.4, 2011-03-09 00:00:00, 1.9, 7.8, None
16.2, 2011-03-10 00:00:00, 2.4, 6.9, None
5.6, 2011-03-11 00:00:00, 2.8, 6.6, None
5.6, 2011-03-12 00:00:00, 4.8, 9.0, None
20.0, 2011-03-13 00:00:00, 4.9, 8.2, None
20.0, 2011-03-14 00:00:00, 5.3, 9.2, None
23.0, 2011-03-15 00:00:00, 5.9, 8.6, None
3.2, 2011-03-16 00:00:00, 3.6, 8.0, None
4.2, 2011-03-17 00:00:00, 1.4, 6.6, None
1.4, 2011-03-18 00:00:00, 4.8, 8.4, None
9.4, 2011-03-19 00:00:00, 3.8, 6.2, None
0.2, 2011-03-20 00:00:00, 3.3, 7.5, None
1.8, 2011-03-21 00:00:00, 3.4, 9.9, None
5.8, 2011-03-22 00:00:00, 3.0, 7.0, None
0.2, 2011-03-23 00:00:00, 5.1, 9.2, None
0.0, 2011-03-24 00:00:00, 2.8, 11.9, None
0.0, 2011-03-25 00:00:00, 4.5, 10.6, None
1.0, 2011-03-26 00:00:00, 6.2, 11.6, None
